id;ean;producent;bieznik;rozmiar;nosnosc;predkosc;tl/tt;płotna;cena;magazyn;waga;kategoria;sezon 
191129;;BKT;MULTIMAX MP527 IND E 144A8;;;;;;2130;2;;inne;wielosezonowe 
191160;8903094039203;BKT;AGRIMAX RT 657;;;;;;1235;2;;inne;wielosezonowe 
191341;8903094045365;BKT;AGRIMAX RT 765;;;;;;585;2;;inne;wielosezonowe 
191345;8903094063482;BKT;AGRIMAX RT 765;;;;;;6740;0;;inne;wielosezonowe 
191346;8903094063895;BKT;AGRIMAX RT 765;;;;;;7800;2;;inne;wielosezonowe 
191349;8903094065493;BKT;AGRIMAX RT 765;;;;;;8100;2;;inne;wielosezonowe 
191492;8903094021895;BKT;AGRIMAX RT 765;;;;;;840;0;;inne;wielosezonowe 
191493;8903094063260;BKT;AGRIMAX RT 765;;;;;;2240;0;;inne;wielosezonowe 
191494;8903094038510;BKT;AGRIMAX RT 765 STBT E;;;;;;6500;2;;inne;wielosezonowe 
191819;;BKT;MAGLIFT STD (NIEBRUDZĄCA);;;;;;1160;2;;inne;wielosezonowe 
191820;;BKT;MAGLIFT LIP (NIEBRUDZĄCA) (Quick);;;;;;1200;2;;inne;wielosezonowe 
191821;;BKT;MAGLIFT LIP (QUICK);;;;;;1085;2;;inne;wielosezonowe 
191822;;BKT;MAGLIFT STD;;;;;;900;2;;inne;wielosezonowe 
191847;8903094058495;BKT;AGRIMAX V-FLECTO NRO E;;;;;;5490;2;;inne;wielosezonowe 
193759;8903094051694;BKT;AGRIMAX RT945 E;;;;;;3490;2;;inne;wielosezonowe 
194586;;BKT;MULTIMAX MP527 IND E;;;;;;2450;2;;inne;wielosezonowe 
195652;;BKT;EARTHMAX SR 22 G2;;;;;;3600;2;;inne;wielosezonowe 
196803;8903094065486;BKT;AGRIMAX RT600 CFO;;;;;;10500;0;;inne;wielosezonowe 
197099;8903094063628;BKT;AGRIMAXFORCE E;;;;;;6950;2;;inne;wielosezonowe 
197421;8903094048892;BKT;AGRIMAX FORCE;;;;;;16500;2;;inne;wielosezonowe 
197427;;BKT;RIDEMAX FL 693 STBT;;;;;;4480;2;;inne;wielosezonowe 
197603;;BKT;LOADER PLUS L-3;;;;;;5800;2;;inne;wielosezonowe 
197686;8903094053643;BKT;AGRIMAX  FORCE;;;;;;11400;0;;inne;wielosezonowe 
198376;;BKT;FORESTECH STBT;;;;;;5460;2;;leśne;wielosezonowe 
198377;;BKT;FORESTECH STBT E;;;;;;6260;0;;leśne;wielosezonowe 
198561;;BKT;LG 306;;;;;;400;2;;quad;wielosezonowe 
198650;;BKT;TR315 E;;;;;;485;2;;quad;wielosezonowe 
198662;;BKT;LG306;;;;;;65;0;;quad;wielosezonowe 
198663;;BKT;LG306 E;;;;;;75;0;;quad;wielosezonowe 
198664;;BKT;LG306 E;;;;;;162;0;;quad;wielosezonowe 
